date,close,ret_1d
2025-06-02,1050.9342041015625,
2025-06-03,1049.6812744140625,-0.0011922056419993998
2025-06-04,1045.802978515625,-0.003694736671950638
2025-06-05,1005.1517944335938,-0.038870786292586446
2025-06-06,1009.2587280273438,0.0040858839595110386
2025-06-09,1000.5477294921875,-0.008631085660445459
2025-06-10,1001.6316528320312,0.0010833299680703679
2025-06-11,991.2003784179688,-0.010414281921471757
2025-06-12,997.09716796875,0.0059491397291362436
2025-06-13,984.6671142578125,-0.012466241114955312
2025-06-16,978.849853515625,-0.005907845055404537
2025-06-17,972.2470092773438,-0.006745512822591282
2025-06-18,969.44287109375,-0.0028841828844277106
2025-06-20,974.8026733398438,0.005528744814067066
2025-06-23,998.857177734375,0.024676280700089093
2025-06-24,996.3115234375,-0.0025485668558232755
2025-06-25,981.0177001953125,-0.015350442991385216
2025-06-26,977.407958984375,-0.003679588258416522
2025-06-27,979.6255493164062,0.002268848244632249
2025-06-30,984.398681640625,0.004872404897513727
2025-07-01,980.4409790039062,-0.004020426591919812
2025-07-02,976.861083984375,-0.00365131108979988
2025-07-03,981.4950561523438,0.004743737102380852
2025-07-07,986.6260986328125,0.0052277822983475275
2025-07-08,980.3215942382812,-0.00638996313118767
2025-07-09,976.5925903320312,-0.0038038577627655945
2025-07-10,964.7393188476562,-0.01213737601710152
2025-07-11,964.8983764648438,0.00016487108390839111
2025-07-14,975.419189453125,0.010903545124437919
2025-07-15,962.26318359375,-0.013487540538084986
2025-07-16,946.0445556640625,-0.016854669498126307
2025-07-17,948.5703125,0.002669807485086828
2025-07-18,945.6268920898438,-0.0031030070953820266
2025-07-21,942.2559204101562,-0.003564800988514194
2025-07-22,936.339111328125,-0.00627940770003943
2025-07-23,935.9215698242188,-0.00044592979066526706
2025-07-24,928.5728149414062,-0.007851891782120979
2025-07-25,930.2434692382812,0.0017991634796894473
2025-07-28,928.7618408203125,-0.0015927318674776592
2025-07-29,929.338623046875,0.0006210227436271865
2025-07-30,922.318115234375,-0.00755430543657265
2025-07-31,934.3802490234375,0.01307806231909181
2025-08-01,948.5003662109375,0.015111746210664911
2025-08-04,951.3383178710938,0.0029920406583427983
2025-08-05,939.6478881835938,-0.01228840410177201
2025-08-06,964.47265625,0.02641922402911412
2025-08-07,973.3251342773438,0.009178568173993984
2025-08-08,976.8402099609375,0.003611409548365918
2025-08-11,984.5674438476562,0.007910437969202544
2025-08-12,987.06689453125,0.002538628205931648
2025-08-13,974.71923828125,-0.01250944218513561
2025-08-14,971.2738647460938,-0.0035347343110120333
2025-08-15,967.9379272460938,-0.00343460029254683
2025-08-18,975.2171020507812,0.007520290919271755
2025-08-19,976.7107543945312,0.0015316100800621957
2025-08-20,990.3729248046875,0.013987938956017132
2025-08-21,965.5879516601562,-0.025025899359495396
2025-08-22,954.4949340820312,-0.011488355420189889
2025-08-25,937.6065673828125,-0.017693511087579328
2025-08-26,937.3675537109375,-0.0002549189395528728
2025-08-27,945.5130615234375,0.00868976932287957
2025-08-28,940.9722290039062,-0.0048025063897212394
2025-08-29,939.3391723632812,-0.0017354992956101212
2025-09-02,934.858154296875,-0.004770394122000088
2025-09-03,945.77197265625,0.011674304074058783
2025-09-04,951.8660888671875,0.006443536483558443
2025-09-05,959.4141235351562,0.007929723262808608
2025-09-08,967.7487182617188,0.008687171183025644
2025-09-09,975.1175537109375,0.0076144099291133305
2025-09-10,952.2543334960938,-0.023446629719498735
2025-09-11,960.2505493164062,0.00839714301005623
2025-09-12,963.8154296875,0.0037124481455714786
2025-09-15,956.04833984375,-0.008058690081635622
2025-09-16,948.0523071289062,-0.008363628052688754
2025-09-17,958.9660034179688,0.01151170268454238
2025-09-18,948.3410034179688,-0.011079641991614042
2025-09-19,947.1460571289062,-0.0012600386198168279
2025-09-22,939.2794189453125,-0.008305623113123661
2025-09-23,939.6179809570312,0.0003604486640396143
2025-09-24,941.2809448242188,0.0017698297615522662
2025-09-25,939.3292236328125,-0.002073473602263065
2025-09-26,912.084716796875,-0.029004215082940377
2025-09-29,913.000732421875,0.001004309806019954
2025-09-30,921.7238159179688,0.009554300655328474
2025-10-01,913.4688110351562,-0.008956050326844545
2025-10-02,912.9013061523438,-0.000621263557065932
2025-10-03,911.5171508789062,-0.0015162156786382441
2025-10-06,907.0958251953125,-0.0048505128831976
2025-10-07,910.9395141601562,0.004237357132600872
2025-10-08,910.9395141601562,0.0
2025-10-09,938.9110107421875,0.030706206226897237
2025-10-10,926.0853271484375,-0.013660169544301715
2025-10-13,931.6119384765625,0.005967712872789299
2025-10-14,942.5157470703125,0.011704238796661048
2025-10-15,950.9598388671875,0.008959098904312679
2025-10-16,921.7138061523438,-0.030754224857363566
