date,close,ret_1d
2025-06-02,458.3871154785156,
2025-06-03,465.5406188964844,0.015605812590306245
2025-06-04,468.95556640625,0.007335444795043777
2025-06-05,465.48126220703125,-0.007408599978551034
2025-06-06,467.9063415527344,0.005209832366194211
2025-06-09,467.371826171875,-0.0011423554959431037
2025-06-10,470.72735595703125,0.007179572231900577
2025-06-11,463.7787170410156,-0.014761493735345854
2025-06-12,465.7485046386719,0.00424725742100418
2025-06-13,461.2447204589844,-0.009669991711903747
2025-06-16,461.8584289550781,0.0013305485545354045
2025-06-17,456.21636962890625,-0.012215992980655677
2025-06-18,454.0387268066406,-0.00477326761430541
2025-06-20,451.2275390625,-0.0061915153447644755
2025-06-23,455.07806396484375,0.008533443925749395
2025-06-24,458.4533996582031,0.007417047668595522
2025-06-25,455.5234680175781,-0.0063909039453288186
2025-06-26,459.74017333984375,0.009256834429665295
2025-06-27,459.0769958496094,-0.0014425049814912327
2025-06-30,464.4122009277344,0.011621590988786457
2025-07-01,471.9053039550781,0.0161345955433021
2025-07-02,472.321044921875,0.0008809838823859995
2025-07-03,470.7471618652344,-0.0033322314844153045
2025-07-07,464.8180236816406,-0.012595165014061549
2025-07-08,465.1744079589844,0.0007667178534105368
2025-07-09,466.4809875488281,0.0028087950830668618
2025-07-10,465.5604248046875,-0.0019734196434838536
2025-07-11,464.04595947265625,-0.003252994136403675
2025-07-14,464.0162658691406,-6.398849706479304e-05
2025-07-15,455.87982177734375,-0.017534825156520384
2025-07-16,454.99884033203125,-0.0019324861580356512
2025-07-17,456.6024169921875,0.0035243532906283903
2025-07-18,460.28460693359375,0.008064324244409837
2025-07-21,465.6495056152344,0.011655611768947693
2025-07-22,467.2233581542969,0.00337990810702804
2025-07-23,465.2139587402344,-0.004300725507389802
2025-07-24,466.69873046875,0.0031915889465918834
2025-07-25,468.08453369140625,0.0029693743140555284
2025-07-28,462.7096862792969,-0.01148264261098797
2025-07-29,466.71856689453125,0.0086639219668605
2025-07-30,461.4922180175781,-0.011198073630814376
2025-07-31,455.5828857421875,-0.012804836234888706
2025-08-01,454.7414855957031,-0.0018468651321562612
2025-08-04,462.6502990722656,0.017391889077817746
2025-08-05,465.06549072265625,0.005220339542055141
2025-08-06,466.6888427734375,0.003490588063755906
2025-08-07,464.65966796875,-0.004348025105182507
2025-08-08,467.6192932128906,0.006369447249593652
2025-08-11,465.60003662109375,-0.004318163559769106
2025-08-12,468.4210510253906,0.006058879257762273
2025-08-13,470.79669189453125,0.0050715928840949775
2025-08-14,472.7763366699219,0.004204882509739605
2025-08-15,475.2014465332031,0.0051295077083657326
2025-08-18,473.6474304199219,-0.003270225973886376
2025-08-19,475.0430908203125,0.002946622974716151
2025-08-20,477.458251953125,0.005084088537403941
2025-08-21,475.8250427246094,-0.0034206325303515195
2025-08-22,476.7752990722656,0.001997070902815423
2025-08-25,472.994140625,-0.007930692832919806
2025-08-26,477.02276611328125,0.008517284131591918
2025-08-27,477.8047180175781,0.001639233931470585
2025-08-28,477.2503967285156,-0.0011601419328013396
2025-08-29,473.4296569824219,-0.008005734038744383
